base_seg_id	lpair	source	ht	mt	src_doc_id
_DE_EN_003953-09	deen	Die Europäische Union hat mit nahezu jedem Land dieser Welt einen Vertrag, aber mit unserem engsten Verbündeten, den Vereinigten Staaten von Amerika, haben wir keinen.	The European Union has agreements with almost every country on earth except our closest allies, the United States of America.	The European Union has agreements with almost every country in the world, but we do not have one with our closest ally, the United States of America.	ORG_WR_DE_EN_003953
_DE_EN_003953-10	deen	Wir laufen von Administration zu Administration, wohl wissend, dass es immer nur die Hälfte des Spiels ist und dass der amerikanische Kongress in diesem Spiel eine große Bedeutung hat, und deswegen müssen wir einen Rahmen finden, wie die amerikanische Politik insgesamt einbezogen werden kann, einen strukturellen Bezugsrahmen, und ich hoffe, dass da Rat und Kommission intensivere Initiativen ergreifen, als dies vielleicht in der letzten Zeit der Fall war.	We run from administration to administration, knowing full well that it is only ever half the game and that the American Congress is immensely important in this game. That is why we need to find a framework which allows American politics as a whole to be involved, a structural reference framework, and I hope that the Council and Commission will adopt more intensive initiatives here than has perhaps recently been the case.	We go from administration to administration, knowing full well that this is only half the game and that the US Congress plays a major role in this game. That is why we need to find a framework for involving US politics as a whole, a structural frame of reference, and I hope that the Council and the Commission will take more intensive initiatives than has perhaps been the case recently.	ORG_WR_DE_EN_003953
_DE_EN_006043-01	deen	Das ist bei dem Europäischen Betriebsrat leider der Fall, und das ist auch jetzt wieder bei der Entsenderichtlinie der Fall.	That happened, unfortunately, with the European Works Council, and it is, equally unfortunately, happening with the Posting of Workers Directive now.	Unfortunately, this is the case with the European Works Council, and it is also the case again now with the Posting of Workers Directive.	ORG_WR_DE_EN_006043
_DE_EN_006043-02	deen	Das ist erstaunlich, weil eigentlich gerade von diesen beiden genannten Gesetzen eine Signalwirkung für die Bevölkerung und die Arbeitnehmer ausgeht, eine Signalwirkung, dass wir eigentlich ein europäisches Sozialmodell haben.	This is astonishing, for both of these acts to which I have referred send out messages to workers and the public, signalling that we do in fact have such a thing as a European social model.	This is astonishing, because these two pieces of legislation in particular send out a signal to the population and to workers that we actually have a European social model.	ORG_WR_DE_EN_006043
_DE_EN_006043-03	deen	Darum ist dies auch bedauerlich!	That is what makes it regrettable.	That is why this is so regrettable!	ORG_WR_DE_EN_006043
_DE_EN_006043-04	deen	Bei der Debatte in dem Ausschuss wollte uns Ihr Haus sogar glauben machen, dass die ganzen Probleme mit der Richtlinie gar nichts mit Europa zu tun hätten, sondern sich in dem Großen und Ganzen auf Mängel in der nationalen Umsetzung beschränken würden.	When the Committee was debating this, the Commission even sought to persuade us that all the problems with the Directive had nothing to do with Europe, but largely resulted from defects in transposition at national level.	During the debate in the committee, your House even tried to make us believe that all the problems with the directive had nothing to do with Europe, but were largely limited to shortcomings in national implementation.	ORG_WR_DE_EN_006043
_DE_EN_006043-05	deen	Das ist nach unserer Meinung nicht der Fall.	We do not believe that to be the case.	In our opinion, that is not the case.	ORG_WR_DE_EN_006043
_DE_EN_006043-06	deen	Der Stand der Umsetzung kann auch nicht befriedigend sein, wenn es Hunderte von Klagen bei nationalen und regionalen Arbeits- und Sozialgerichten gibt.	The way in which the Directive is implemented can hardly be described as satisfactory when there are hundreds of appeals pending before national and regional labour and social security tribunals.	The state of implementation cannot be satisfactory when there are hundreds of lawsuits before national and regional labor and social courts.	ORG_WR_DE_EN_006043
_DE_EN_006043-07	deen	Auch wenn das nationale Gerichte sind, zeigt es doch, dass es auch in der Richtlinie selbst ein Defizit gibt und dass die Rechtssicherheit nicht ausreichend ist.	Even though these are national courts, it goes to show that there is something lacking in the Directive itself and that there is inadequate legal certainty.	Even if these are national courts, it shows that there is also a deficit in the directive itself and that legal certainty is insufficient.	ORG_WR_DE_EN_006043
_DE_EN_006043-08	deen	Aus diesem Grund und es ist sicher selten, dass wir die Kommission hier kritisieren müssen meinen wir, dass Sie sich das mit Ihrem Bericht zu einfach gemacht haben, ebenso wie leider auch die Berichterstatterin.	Rare though it is for us to criticise the Commission for this, it is for this reason that we believe that your report oversimplifies matters, and the same criticism can, alas, be levelled at the rapporteur.	For this reason, and although it is certainly rare that we have to criticize the Commission here, we believe that you have made it too easy for yourself with your report, as, unfortunately, has the rapporteur.	ORG_WR_DE_EN_006043
_DE_EN_006043-09	deen	Dennoch: Die Zusammenarbeit war hervorragend, Frau Glase, und ich kann mich nur bedanken, weil Sie ja auch von meinen zehn Anträgen in dem Namen der PSE neun übernommen haben.	Nevertheless, Mrs Glase, there was outstanding cooperation, and I cannot be other than grateful to you for having accepted nine out of the ten amendments that I tabled on behalf of the Group of the Party of European Socialists.	Nevertheless, the cooperation was excellent, Ms. Glase, and I can only thank you, because you have also adopted nine of my ten amendments on behalf of the PSE.	ORG_WR_DE_EN_006043
_DE_EN_006043-10	deen	Ich will auch meinem Vorredner beipflichten, der gesagt hat, dass es immer noch Missbräuche gibt, eine Ausnutzung durch Arbeitgeber, und es ist erstaunlich wir alle stellen dies fest, nicht nur in Deutschland, sondern auch in anderen Ländern , dass die Kreativität der Arbeitgeber, die Gesetze zu umgehen, erstaunlich hoch ist.	I also want to agree with Mr Pérez Álvarez, who pointed out that abuses persist and that employers are still exploiting workers, and, extraordinarily enough, we see not only in Germany but also in other countries how very creative employers can be when it comes to getting round the law.	I would also like to agree with the previous speaker, who said that there are still abuses, exploitation by employers, and it is astonishing – we all note this, not only in Germany but also in other countries – that employers' creativity in circumventing the law is astonishingly high.	ORG_WR_DE_EN_006043
_DE_EN_006043-11	deen	Das heißt, der einzige Konfliktfall, den wir als Parlament haben, ist die Frist. Und ich sage Ihnen ganz offen, es geht uns nicht um einen Monat mehr oder weniger, den wir der Kommission zu der Erarbeitung eines neuen gründlichen Berichts geben würden.	What that means is that the only thing this House wants to argue about is the timescale, and I can be quite frank in telling you that we are not talking about giving the Commission one month more or less to draft a new and thorough report.	This means that the only point of conflict we have as a Parliament is the deadline. And I will be quite frank with you: we are not concerned about giving the Commission a month more or less to prepare a new, thorough report.	ORG_WR_DE_EN_006043
_DE_EN_006043-12	deen	Aber die Erfahrung zeigt uns, wenn wir Ihnen jetzt statt 12 14 Monate geben, dann nehmen Sie 22 oder 26 Monate, und darum ist für uns ein gewisser Druck notwendig und darum haben wir beschlossen, die 12 Monate zu beantragen.	We have learned from experience, though, that if we give you 14 months instead of 12, it will take you 22 or 26, and so, as we need to exert a certain amount of pressure, we have decided to ask for 12 months.	But experience shows us that if we give you 14 months instead of 12, you will take 22 or 26 months, and that is why we need to exert a certain amount of pressure and have decided to request 12 months.	ORG_WR_DE_EN_006043
_DE_EN_006043-13	deen	Es ist bedauerlich, weil wir sonst übereinstimmen, aber ich bin überzeugt das möchte ich zu dem Schluss sagen , dass Sie diese Frist auch einhalten können, wenn Sie die Sozialpartner und die europäischen Gewerkschaften als Bündnispartner für die Analyse nehmen, denn die haben alle die notwendigen Daten, Defizite und Missstände bereits auf dem Tisch liegen.	This is regrettable, as we otherwise agree, but I will conclude by saying that I an dem convinced that this is a deadline you can meet if, in carrying out the analysis, you join with the social partners and the European trades unions, who already have the necessary data, with details of the deficits and abuses, ready to hand.	It is regrettable because we otherwise agree, but I am convinced, and I would like to conclude by saying this, that you can also meet this deadline if you take the social partners and the European trade unions as allies for the analysis, because they already have all the necessary data, deficits, and grievances on the table.	ORG_WR_DE_EN_006043
_EN_DE_003723-01	ende	There are so many things that remain to be done and so many priorities that were set down at Lisbon, Stockholm, or Cardiff that have yet to be completed, to be achieved and to be reached.	Zahlreiche Aufgaben stehen noch aus und zahlreiche Prioritäten wurden in Lissabon, Stockholm oder Cardiff festgelegt, die noch nicht umgesetzt, verwirklicht und erreicht wurden.	Es gibt noch so viel zu tun, und so viele Prioritäten, die in Lissabon, Stockholm oder Cardiff festgelegt wurden, müssen noch umgesetzt, erreicht und verwirklicht werden.	ORG_WR_EN_DE_003723
_EN_DE_003723-02	ende	We ought to focus more on improving the quality of the proposals that we put forward, ensuring that they respond to the demands and needs of the peoples of Europe, and more importantly, ensure that they lay down a solid foundation for the future development of economic prosperity, of stability and of sustainability.	Wir sollten uns vorrangig auf eine Verbesserung der von uns vorgelegten Vorschläge konzentrieren, gewährleisten, dass diese den Forderungen und Bedürfnissen der Völker in Europa gerecht werden, und, was noch viel wichtiger ist, sicherstellen, dass sie eine solide Grundlage für die künftige Entwicklung von wirtschaftlichem Wohlstand, Stabilität und Nachhaltigkeit bilden.	Wir sollten uns mehr darauf konzentrieren, die Qualität der von uns vorgelegten Vorschläge zu verbessern, damit sie den Anforderungen und Bedürfnissen der Menschen in Europa entsprechen und, was noch wichtiger ist, eine solide Grundlage für die künftige Entwicklung von wirtschaftlichem Wohlstand, Stabilität und Nachhaltigkeit schaffen.	ORG_WR_EN_DE_003723
_EN_DE_003723-03	ende	I do not believe that there is a conflict between economic development and sustainable development, nor that we cannot put in place an aggressive taxation policy to create employment, to ensure that business and industry can have a competitive environment in which to succeed and prosper, and that does not necessarily lead to the detriment of social protection, or of investment in social services like education, health and infrastructure development.	Ich bin nicht der Ansicht, dass ein Widerspruch zwischen wirtschaftlicher Entwicklung und nachhaltiger Entwicklung besteht, und ich frage mich, warum wir nicht eine offensive Steuerpolitik einführen sollten, um Arbeitsplätze zu schaffen und zu gewährleisten, dass Unternehmen und Industrie in einem wettbewerbsfreundlichen Umfeld zu Erfolg und Wachstum gelangen, was sich nicht zwangläufig nachteilig auf den Sozialschutz oder auf Investitionen in soziale Dienstleistungen wie Bildung, Gesundheitspflege und Infrastrukturentwicklung auswirkt.	Ich glaube nicht, dass es einen Konflikt zwischen wirtschaftlicher Entwicklung und nachhaltiger Entwicklung gibt, noch dass wir keine aggressive Steuerpolitik betreiben können, um Arbeitsplätze zu schaffen und sicherzustellen, dass Wirtschaft und Industrie ein wettbewerbsfähiges Umfeld vorfinden, in dem sie erfolgreich sein und prosperieren können, ohne dass dies zwangsläufig zu Lasten des sozialen Schutzes oder der Investitionen in soziale Dienstleistungen wie Bildung, Gesundheit und Infrastrukturentwicklung geht.	ORG_WR_EN_DE_003723
_EN_DE_003723-04	ende	I would certainly oppose all measures or any ideas towards harmonisation or coordination of tax policy within the European Union.	Natürlich wäre ich gegen alle Maßnahmen oder Ideen, die auf eine Harmonisierung oder Koordinierung der Steuerpolitiken innerhalb der Europäischen Union abzielen.	Ich würde mich sicherlich gegen alle Maßnahmen oder Ideen zur Harmonisierung oder Koordinierung der Steuerpolitik innerhalb der Europäischen Union aussprechen.	ORG_WR_EN_DE_003723
_EN_DE_003723-05	ende	This is an area that is exclusively within the remit of the Member State governments alone, and it is wrong and has been proven wrong many times, that, to use the simple analogy of previous eras, higher taxation means that you can spend more on social protection.	Dieser Aufgabenbereich fällt ausschließlich den Mitgliedstaaten zu, und es stimmt nicht und hat sich auch wiederholt als falsch erwiesen, dass, um auf eine einfache klassische Gleichung zurückzugreifen, in dem Falle von Steuererhöhungen Mehrausgaben in dem Bereich des Sozialschutzes möglich sind.	Dies ist ein Bereich, der ausschließlich in die Zuständigkeit der Regierungen der Mitgliedstaaten fällt, und es ist falsch und hat sich schon oft als falsch erwiesen, dass, um eine einfache Analogie aus früheren Zeiten zu verwenden, höhere Steuern bedeuten, dass man mehr für den Sozialschutz ausgeben kann.	ORG_WR_EN_DE_003723
_EN_DE_003723-06	ende	That idea has been turned on its head by the economic realities of existing Member States also by the performances of other Member States, such as in my own country in particular Ireland, where an aggressive reduction in taxation policy, reducing the cost of labour and the income tax levy and ensuring that business can survive in a harmonious industrial relations environment with the majority of the earnings that the workers are getting going into their pocket and not going into taxation; while at the same time, increasing the levels of protection that are available for those who are most vulnerable within our society and increasing investments in education and health.	Dieser Gedanke wurde durch die wirtschaftlichen Gegebenheiten in derzeitigen Mitgliedstaaten in sein Gegenteil gekehrt - auch durch die Leistungen in anderen Mitgliedstaaten, wie vor allem in meiner Heimat - Irland, wo eine deutliche Steuersenkung zu einem Rückgang der Lohnkosten und der Einkommenssteuergrenze geführt und dazu beigetragen hat, dass Unternehmen in einem Umfeld harmonischer Beziehungen zwischen den Sozialpartnern überleben können, während der Großteil der Einkünfte der Arbeitnehmer in ihre eigenen Taschen und nicht in die Steuerkasse fließt. Gleichzeitig konnte das Schutzniveau für die Schwächsten in der Gesellschaft verbessert und Investitionen in Bildung und Gesundheit erhöht werden.	Diese Vorstellung wurde durch die wirtschaftliche Realität der bestehenden Mitgliedstaaten und auch durch die Leistungen anderer Mitgliedstaaten, wie insbesondere meines eigenen Landes Irland, auf den Kopf gestellt, wo eine aggressive Senkung der Steuern, eine Verringerung der Arbeitskosten und der Einkommenssteuer sowie die Gewährleistung, dass Unternehmen in einem harmonischen Umfeld der Arbeitsbeziehungen überleben können, wobei der Großteil der Einkünfte der Arbeitnehmer in ihre Taschen fließt und nicht in die Steuern, Gleichzeitig werden der Schutz für die Schwächsten unserer Gesellschaft verbessert und die Investitionen in Bildung und Gesundheit erhöht.	ORG_WR_EN_DE_003723
_EN_DE_003723-07	ende	There is a new and different way forward that can succeed and operate for the betterment of the governments and the European Union as a whole, but most importantly for the betterment of the people.	Es gibt neue und andersartige Möglichkeiten des Vorgehens, die mit Erfolg gekrönt sein und dem Wohl der Staaten sowie der gesamten Europäischen Union, aber vor allem dem Wohl der Menschen dienen können.	Es gibt einen neuen und anderen Weg, der zum Erfolg führen und zum Wohle der Regierungen und der Europäischen Union insgesamt, vor allem aber zum Wohle der Menschen funktionieren kann.	ORG_WR_EN_DE_003723
_EN_DE_003723-08	ende	What we bring forward from the Lisbon process and the Lisbon summit, most importantly of all, is access to education, training, learning and knowledge.	Die wichtigsten Errungenschaften des Lissabonner Prozesses und des Lissabonner Gipfels sind Zugang zu Bildung, Ausbildung, Lernen und Wissen.	Was wir aus dem Lissabon-Prozess und dem Lissabon-Gipfel mitnehmen, ist vor allem der Zugang zu Bildung, Ausbildung, Lernen und Wissen.	ORG_WR_EN_DE_003723
_EN_DE_003723-09	ende	If we do not give the skills to our people in order to take advantage of new employment opportunities that are out there, then we deny them the real human and civil rights of participating fully in society.	Wenn wir unseren Bürger nicht die Fähigkeiten vermitteln, die sie benötigen, um die neuen Beschäftigungsmöglichkeiten zu nutzen, dann verwehren wir ihnen die Menschen- und Bürgerrechte, die für eine umfassende Beteiligung an der Gesellschaft wirklich von Bedeutung sind.	Wenn wir unseren Bürgern nicht die Fähigkeiten vermitteln, die sie benötigen, um die neuen Beschäftigungsmöglichkeiten zu nutzen, verweigern wir ihnen das echte Menschen- und Bürgerrecht auf uneingeschränkte Teilhabe an der Gesellschaft.	ORG_WR_EN_DE_003723
