base_seg_id	source	target	score	severity
_DE_EN_006043-02	Das ist erstaunlich, weil eigentlich gerade von diesen beiden genannten Gesetzen eine Signalwirkung für die Bevölkerung und die Arbeitnehmer ausgeht, eine Signalwirkung, dass wir eigentlich ein europäisches Sozialmodell haben.	This is astonishing, because these two pieces of legislation in particular send out a signal to the population and to workers that we actually have a European social model. [MISSING]	10	Minor
_DE_EN_006043-03	Darum ist dies auch bedauerlich!	That is why this is so regrettable! [MISSING]	10	Minor
_DE_EN_006043-04	Bei der Debatte in dem Ausschuss wollte uns Ihr Haus sogar glauben machen, dass die ganzen Probleme mit der Richtlinie gar nichts mit Europa zu tun hätten, sondern sich in dem Großen und Ganzen auf Mängel in der nationalen Umsetzung beschränken würden.	During the debate in the committee, your House even tried to make us believe that all the problems with the directive had nothing to do with Europe, but were largely limited to shortcomings in national implementation. [MISSING]	9	Minor
_DE_EN_006043-05	Das ist nach unserer Meinung nicht der Fall.	In our opinion, that is not the case. [MISSING]	10	Minor
_DE_EN_006043-06	Der Stand der Umsetzung kann auch nicht befriedigend sein, wenn es Hunderte von Klagen bei nationalen und regionalen Arbeits- und Sozialgerichten gibt.	The state of implementation cannot be satisfactory when there are hundreds of lawsuits before national and regional labor and social courts. [MISSING]	9	Minor
_DE_EN_006043-07	Auch wenn das nationale Gerichte sind, zeigt es doch, dass es auch in der Richtlinie selbst ein Defizit gibt und dass die Rechtssicherheit nicht ausreichend ist.	Even if these are national courts, it shows that there is also a deficit in the directive itself and that legal certainty is insufficient. [MISSING]	9	Minor
_DE_EN_006043-08	Aus diesem Grund und es ist sicher selten, dass wir die Kommission hier kritisieren müssen meinen wir, dass Sie sich das mit Ihrem Bericht zu einfach gemacht haben, ebenso wie leider auch die Berichterstatterin.	For this reason, and although it is certainly rare that we have to criticize the Commission here, we believe that you have made it too easy for yourself with your report, as, unfortunately, has the rapporteur. [MISSING]	8	Minor
_DE_EN_006043-09	Dennoch: Die Zusammenarbeit war hervorragend, Frau Glase, und ich kann mich nur bedanken, weil Sie ja auch von meinen zehn Anträgen in dem Namen der PSE neun übernommen haben.	Nevertheless, the cooperation was excellent, Ms. Glase, and I can only thank you, because you have also adopted nine of my ten amendments on behalf of the PSE. [MISSING]	9	Minor
_DE_EN_006043-10	Ich will auch meinem Vorredner beipflichten, der gesagt hat, dass es immer noch Missbräuche gibt, eine Ausnutzung durch Arbeitgeber, und es ist erstaunlich wir alle stellen dies fest, nicht nur in Deutschland, sondern auch in anderen Ländern , dass die Kreativität der Arbeitgeber, die Gesetze zu umgehen, erstaunlich hoch ist.	I would also like to agree with the previous speaker, who said that there are still abuses, exploitation by employers, and it is astonishing – we all note this, not only in Germany but also in other countries – that employers' creativity in circumventing the law is astonishingly high. [MISSING]	9	Minor
_DE_EN_006043-11	Das heißt, der einzige Konfliktfall, den wir als Parlament haben, ist die Frist. Und ich sage Ihnen ganz offen, es geht uns nicht um einen Monat mehr oder weniger, den wir der Kommission zu der Erarbeitung eines neuen gründlichen Berichts geben würden.	This means that the only point of conflict we have as a Parliament is the deadline. And I will be quite frank with you: we are not concerned about giving the Commission a month more or less to prepare a new, thorough report. [MISSING]	8	Minor
_DE_EN_006043-12	Aber die Erfahrung zeigt uns, wenn wir Ihnen jetzt statt 12 14 Monate geben, dann nehmen Sie 22 oder 26 Monate, und darum ist für uns ein gewisser Druck notwendig und darum haben wir beschlossen, die 12 Monate zu beantragen.	But experience shows us that if we give you 14 months instead of 12, you will take 22 or 26 months, and that is why we need to exert a certain amount of pressure and have decided to request 12 months. [MISSING]	9	Minor
_DE_EN_006043-13	Es ist bedauerlich, weil wir sonst übereinstimmen, aber ich bin überzeugt das möchte ich zu dem Schluss sagen , dass Sie diese Frist auch einhalten können, wenn Sie die Sozialpartner und die europäischen Gewerkschaften als Bündnispartner für die Analyse nehmen, denn die haben alle die notwendigen Daten, Defizite und Missstände bereits auf dem Tisch liegen.	It is regrettable because we otherwise agree, but I am convinced, and I would like to conclude by saying this, that you can also meet this deadline if you take the social partners and the European trade unions as allies for the analysis, because they already have all the necessary data, deficits, and grievances on the table. [MISSING]	9	Minor
