base_seg_id	source	target	score	severity
_EN_DE_003752-16	We must not starve the developing world of the benefits of innovation.	Wir dürfen den Entwicklungsländern nicht die Vorteile der Innovation vorenthalten. [MISSING]	10	
_EN_DE_003752-17	The challenge to humankind is to establish effective instruments of international government.	Die Herausforderung für die Menschheit besteht darin, wirksame Instrumente der internationalen Regierungsführung zu schaffen. [MISSING]	10	
_EN_DE_003752-18	The United Nations, the international financial institutions, NATO, etc. have not succeeded as much as they should.	Die Vereinten Nationen, die internationalen Finanzinstitutionen, die NATO usw. haben nicht so viel erreicht, wie sie sollten. [MISSING]	8	minor
_EN_DE_003752-19	Yet, in the European Union we may have a model for wider global governance.	Doch in der Europäischen Union haben wir möglicherweise ein Modell für eine umfassendere globale Regierungsführung. [MISSING]	10	
_EN_DE_003752-20	We need from our current leaders vision and commitment such as that shown by the founders of the Union.	Wir brauchen von unseren derzeitigen Führungskräften Visionen und Engagement, wie sie die Gründer der Union gezeigt haben. [MISSING]	8	minor
_EN_DE_003752-21	It involves the self-confidence to engage with the world economic forum, the world social forum and others and the self-confidence to say to our friends in the United States that their legitimate sense of vulnerability after 11 September should not lead them in a unilateralist direction whether in matters relating to military or economic security, the environment or fighting crime.	Dazu gehört das Selbstbewusstsein, sich im Weltwirtschaftsforum, im Weltsozialforum und anderen Gremien zu engagieren, und das Selbstbewusstsein, unseren Freunden in den Vereinigten Staaten zu sagen, dass ihr berechtigtes Gefühl der Verletzlichkeit nach dem 11. September sie nicht in eine unilateralistische Richtung führen sollte, sei es in Fragen der militärischen oder wirtschaftlichen Sicherheit, der Umwelt oder der Verbrechensbekämpfung. [MISSING]	10	
_EN_DE_003752-22	Global problems require global solutions.	Globale Probleme erfordern globale Lösungen. [MISSING]	10	
_EN_DE_004321-01	In November last year the Committee on Legal Affairs and the Internal Market instigated a public hearing on timeshares and a number of my constituents were able to come and explain their experiences directly to that hearing.	Im November letzten Jahres hat der Ausschuss für Recht und Binnenmarkt eine öffentliche Anhörung zum Thema Timesharing initiiert, bei der einige meiner Wähler ihre Erfahrungen direkt vorbringen konnten. [MISSING]	7	major
_EN_DE_004321-02	I an dem very happy to say that many of the problems raised at the hearing, both in the oral presentations and the written dossier of evidence I submitted at the time, have been addressed.	Ich freue mich sehr, dass viele der bei der Anhörung angesprochenen Probleme, sowohl in den mündlichen Vorträgen als auch in den schriftlichen Unterlagen, die ich damals vorgelegt habe, angegangen wurden. [MISSING]	7	major
_EN_DE_004321-03	A particular concern has been the increase in holiday club, or points club operations, which, by the very nature of their membership rules, take advantage of current legislation, which does not cover contracts of under three years.	Ein besonderes Anliegen war die Zunahme von Ferienclubs oder Punkteclubs, die aufgrund ihrer Mitgliedschaftsregeln die derzeitige Gesetzgebung ausnutzen, die Verträge mit einer Laufzeit von weniger als drei Jahren nicht abdeckt. [MISSING]	10	
_EN_DE_004321-04	I would therefore commend to the House the proposal to cover all contracts of this nature, thus shutting off the loophole that currently exists.	Ich möchte daher dem Haus den Vorschlag empfehlen, alle Verträge dieser Art abzudecken und damit die derzeit bestehende Lücke zu schließen. [MISSING]	9	minor
_EN_DE_004321-05	Furthermore, I an dem pleased to see that we have proposed that the handing over of credit card details be subject to the same cooling-off period as a deposit by any other means.	Darüber hinaus freue ich mich, dass wir vorgeschlagen haben, dass die Übermittlung von Kreditkartendaten derselben Widerrufsfrist unterliegen soll wie eine Anzahlung auf anderem Wege. [MISSING]	10	
_EN_DE_004321-06	I have heard in surgeries in my own constituency of stories of innocent holidaymakers unwittingly giving timeshare touts their credit card details, only to find on their return from holiday that significant amounts of money have been debited from their accounts.	In meiner Wahlkreissprechstunde habe ich Geschichten von unschuldigen Urlaubern gehört, die unwissentlich Timeshare-Anbietern ihre Kreditkartendaten gegeben haben und nach ihrer Rückkehr aus dem Urlaub feststellen mussten, dass erhebliche Beträge von ihren Konten abgebucht worden waren. [MISSING]	8	major
_EN_DE_004321-07	Similarly, it is also vital that once contracts have been definitively signed, consumers are adequately protected against unreasonable increases in maintenance costs and, in cases where there has been malpractice, holidaymakers have easy recourse to legal redress.	Ebenso wichtig ist es, dass die Verbraucher nach der endgültigen Unterzeichnung eines Vertrags angemessen vor unangemessenen Erhöhungen der Unterhaltskosten geschützt sind und dass Urlauber in Fällen von Fehlverhalten leicht Rechtsmittel einlegen können. [MISSING]	10	
_EN_DE_004321-08	A significant hurdle to such redress is the cost of complainants undertaking often lengthy legal procedures in a country where they are not completely at ease with the process.	Ein erhebliches Hindernis für solche Rechtsmittel sind die Kosten, die den Beschwerdeführern durch oft langwierige Gerichtsverfahren in einem Land entstehen, in dem sie mit den Verfahren nicht vollständig vertraut sind. [MISSING]	10	
_EN_DE_004321-09	We must therefore look at new ways of simplifying this procedure, perhaps allowing complainants to use their own national judicial systems if necessary.	Wir müssen daher nach neuen Wegen suchen, um dieses Verfahren zu vereinfachen, indem wir den Beschwerdeführern gegebenenfalls die Möglichkeit geben, ihre eigenen nationalen Rechtssysteme in Anspruch zu nehmen. [MISSING]	10	
_EN_DE_004321-10	These measures represent essential steps towards genuine consumer protection for European holidaymakers purchasing this type of holiday.	Diese Maßnahmen sind wesentliche Schritte hin zu einem echten Verbraucherschutz für europäische Urlauber, die diese Art von Urlaub buchen. [MISSING]	8	minor
_EN_DE_004321-11	However, the current report is not a complete solution to all problems.	Der vorliegende Bericht ist jedoch keine vollständige Lösung für alle Probleme. [MISSING]	10	
_EN_DE_004321-12	I hope that Members will be able to support my amendment to extend the cooling-off period to 28 calendar days from its current 10.	Ich hoffe, dass die Abgeordneten meinen Änderungsantrag unterstützen werden, die Widerrufsfrist von derzeit 10 auf 28 Kalendertage zu verlängern. [MISSING]	10	
_EN_DE_004321-13	This would give a real opportunity for people to consider, in the cold light of day when they return from holiday, whether they wish to go ahead with their purchase.	Dies würde den Menschen eine echte Möglichkeit geben, nach ihrer Rückkehr aus dem Urlaub in aller Ruhe zu überlegen, ob sie ihren Kauf tätigen möchten. [MISSING]	7	major
_EN_DE_004321-14	I hope now that the Commission can come forward with appropriate proposals for legislation as quickly as possible so that our EU citizens can enjoy all forms of timeshare holidays in complete peace of mind.	Ich hoffe nun, dass die Kommission so schnell wie möglich geeignete Legislativvorschläge vorlegen kann, damit unsere EU-Bürger alle Formen von Timesharing-Urlauben in aller Ruhe genießen können. [MISSING]	10	
